"month","trade.flow","prod.form","t1_value","t2_value","yoy_val","yoy_percent","month_year"
5,"export","Frozen",191690173,195955936,4265763,2.22534255837935,"May 2019"
5,"export","Live, Fresh or chilled",99020248,72947355,-26072893,-26.330870227673,"May 2019"
5,"import","Frozen",1065038922,1142455687,77416765,7.26891415898883,"May 2019"
5,"import","Live, Fresh or chilled",487728511,486164597,-1563914,-0.320652568945267,"May 2019"
6,"export","Frozen",203258884,184739369,-18519515,-9.11129424483114,"Jun 2019"
6,"export","Live, Fresh or chilled",83978501,74935575,-9042926,-10.7681440991665,"Jun 2019"
6,"import","Frozen",1068152525,1068687497,534972,0.0500838585762834,"Jun 2019"
6,"import","Live, Fresh or chilled",463156953,473822488,10665535,2.30279064816285,"Jun 2019"
7,"export","Frozen",450260210,384825725,-65434485,-14.5325932753418,"Jul 2019"
7,"export","Live, Fresh or chilled",123386699,87767322,-35619377,-28.8680848816614,"Jul 2019"
7,"import","Frozen",1044260240,1096427197,52166957,4.99558970089678,"Jul 2019"
7,"import","Live, Fresh or chilled",415858639,437753412,21894773,5.26495567163148,"Jul 2019"
8,"export","Frozen",575268962,543003019,-32265943,-5.60884475460367,"Aug 2019"
8,"export","Live, Fresh or chilled",158884369,151310470,-7573899,-4.76692518444026,"Aug 2019"
8,"import","Frozen",1067753928,1091400225,23646297,2.21458300268599,"Aug 2019"
8,"import","Live, Fresh or chilled",413095851,420288176,7192325,1.74107897297666,"Aug 2019"
9,"export","Frozen",522680807,426952627,-95728180,-18.3148450675749,"Sep 2019"
9,"export","Live, Fresh or chilled",150841321,134244463,-16596858,-11.0028590905804,"Sep 2019"
9,"import","Frozen",1018494880,988103013,-30391867,-2.98399801479611,"Sep 2019"
9,"import","Live, Fresh or chilled",372571653,391792840,19221187,5.15905782021479,"Sep 2019"
10,"export","Frozen",256811086,358434290,101623204,39.5711904742305,"Oct 2019"
10,"export","Live, Fresh or chilled",166189819,167143473,953654,0.573834188964367,"Oct 2019"
10,"import","Frozen",1128944556,1086869669,-42074887,-3.72692235206633,"Oct 2019"
10,"import","Live, Fresh or chilled",394267939,368138586,-26129353,-6.62730859279938,"Oct 2019"
11,"export","Frozen",252101245,216977674,-35123571,-13.9323274662924,"Nov 2019"
11,"export","Live, Fresh or chilled",121796728,126812976,5016248,4.11854085275591,"Nov 2019"
11,"import","Frozen",1065040568,1010773963,-54266605,-5.0952617797372,"Nov 2019"
11,"import","Live, Fresh or chilled",360076905,341800613,-18276292,-5.0756634891649,"Nov 2019"
12,"export","Frozen",138386717,136845632,-1541085,-1.11360760151569,"Dec 2019"
12,"export","Live, Fresh or chilled",119546799,106985766,-12561033,-10.5072098166342,"Dec 2019"
12,"import","Frozen",1060187662,1087454116,27266454,2.57185166148444,"Dec 2019"
12,"import","Live, Fresh or chilled",430294606,424262076,-6032530,-1.40195343280692,"Dec 2019"
1,"export","Frozen",91113045,89059649,-2053396,-2.25367948135198,"Jan 2020"
1,"export","Live, Fresh or chilled",106144404,95746499,-10397905,-9.79599923138671,"Jan 2020"
1,"import","Frozen",932020471,1034323886,102303415,10.9765201713043,"Jan 2020"
1,"import","Live, Fresh or chilled",399524374,439678905,40154531,10.0505835471255,"Jan 2020"
2,"export","Frozen",253359417,247487297,-5872120,-2.31770347024441,"Feb 2020"
2,"export","Live, Fresh or chilled",81910844,46622814,-35288030,-43.0810235577599,"Feb 2020"
2,"import","Frozen",764397172,833336594,68939422,9.01879605593308,"Feb 2020"
2,"import","Live, Fresh or chilled",382272484,410653911,28381427,7.42439704344506,"Feb 2020"
3,"export","Frozen",457407153,369613800,-87793353,-19.1936991855482,"Mar 2020"
3,"export","Live, Fresh or chilled",70795753,50379781,-20415972,-28.837848507664,"Mar 2020"
3,"import","Frozen",806864211,790768628,-16095583,-1.99483169293774,"Mar 2020"
3,"import","Live, Fresh or chilled",468524455,377417052,-91107403,-19.4456024712734,"Mar 2020"
4,"export","Frozen",287460137,299103928,11643791,4.05057588906666,"Apr 2020"
4,"export","Live, Fresh or chilled",80627711,47472322,-33155389,-41.1215803956037,"Apr 2020"
4,"import","Frozen",811280181,782634011,-28646170,-3.5309835826003,"Apr 2020"
4,"import","Live, Fresh or chilled",430018782,271281277,-158737505,-36.9140864642512,"Apr 2020"
